Course_ID,Course_Title,Platform,Skills_Developed,Duration_Hours,Description
COURSE_001,Python Programming Masterclass,Coursera,"Python, Data Analytics",32,"Comprehensive introduction to Python programming including variables, loops, data structures, and standard libraries."
COURSE_002,SQL for Data Analysis and Business Intelligence,Udemy,"SQL, Data Analytics, Database Management",24,"Learn SQL from scratch, including database management, complex joins, subqueries, and window functions."
COURSE_003,Machine Learning Specialization,Coursera,"Machine Learning, AI/ML, Python, Statistics",40,"Supervised and unsupervised learning, decision trees, neural networks, and machine learning practical workflows."
COURSE_004,Deep Learning and Neural Networks,Coursera,"Deep Learning, AI/ML, Python",35,"Deep dive into building, training, and fine-tuning neural networks, convolutional nets, and recurrent networks."
COURSE_005,Power BI Desktop for Business Intelligence,Udemy,"Power BI, Data Visualisation, Business Analytics",18,"Master data modeling, DAX expressions, and building interactive, professional dashboards in Power BI."
COURSE_006,Statistics and Probability for Data Science,edX,"Statistics, Excel, Python",28,"Probability theory, statistical significance, regression, and data distributions using Excel and Python."
COURSE_007,Java Programming and Software Engineering,Coursera,"Java, REST APIs",45,"Introduction to Java and object-oriented programming concepts, algorithms, and software design principles."
COURSE_008,"Web Development Bootcamp (HTML, CSS, JS, React)",Udemy,"HTML, Javascript, CSS, React, Web Development",55,"Modern front-end and full-stack development covering HTML5, CSS3, ES6+ Javascript, React, and responsive layouts."
COURSE_009,Cloud Computing Essentials (AWS & Azure),Coursera,"Cloud, AWS, Azure, Docker",30,"Fundamental architectural principles of cloud computing, covering virtual machines, S3 storage, IAM, and serverless containers."
COURSE_010,Business Communication & Presentation Skills,LinkedIn Learning,"Communication, Presentation",12,"Techniques for concise written and verbal workplace communication, storytelling with data, and effective slide delivery."
COURSE_011,Interpersonal Skills & Team Collaboration,edX,"Teamwork, Collaboration, Interpersonal Skills",10,"Conflict resolution, active listening, cross-functional collaboration, and effective teamwork in hybrid work environments."
COURSE_012,Professionalism & Problem Solving in Tech,Coursera,"Problem Solving, Critical Thinking",15,"Analytical frameworks for root-cause analysis, workplace ethics, and pragmatic technical decision-making."
COURSE_013,Advanced Excel for Financial Analysis,Udemy,"Excel, Finance, Financial Modeling",20,"Financial functions, dynamic array formulas, Pivot Tables, lookup logic, and spreadsheet financial modeling."
COURSE_014,Search Engine Optimization (SEO) & Content Strategy,Coursera,"SEO, Digital Marketing, Content Strategy",22,"Keyword research, technical on-page optimization, backlink strategies, and conversion rate optimization."
COURSE_015,Social Media Marketing & Consumer Analytics,Udemy,"Social Media Analytics, Digital Marketing, Marketing Analytics",16,"Campaign management across social platforms, audience targeting, attribution modeling, and customer segmentation."
COURSE_016,Introduction to Corporate Finance & Accounting,edX,"Finance, Accounting",25,"Core financial statements, revenue recognition, budgeting, cash flow forecasting, and financial ratios."
COURSE_017,Tableau for Advanced Data Visualization,Coursera,"Tableau, Data Visualisation, Business Analytics",22,"Build executive interactive dashboards, calculate level of detail expressions, and master visual storytelling."
COURSE_018,"DevOps Engineering: Docker, Kubernetes & CI/CD",Udemy,"Docker, Kubernetes, CI/CD, Linux, Cloud",38,"Containerization, microservices deployment, Helm charts, automated GitHub Actions pipelines, and cloud orchestration."
COURSE_019,Cybersecurity Fundamentals & Network Defense,Coursera,"Cybersecurity, Network Security, Cryptography, Linux",36,"Threat modeling, network architecture, penetration testing basics, firewall configuration, and vulnerability management."
COURSE_020,Full-Stack Node.js and Express Backend Development,Udemy,"Node.js, Javascript, REST APIs, SQL, Full-Stack",42,"Build asynchronous server-side REST APIs, integrate databases, handle user authentication, and deploy web applications."
COURSE_021,UI/UX Design Masterclass: Figma to Prototype,Coursera,"Figma, UI Design, UX Research, Wireframing, Prototyping",30,"User journey mapping, wireframing, component design systems in Figma, interactive micro-interactions, and usability testing."
COURSE_022,Product Management Fundamentals: Strategy to Launch,Udemy,"Product Strategy, Agile/Scrum, User Research, Roadmapping",26,"Define product vision, craft user stories, prioritize backlogs using RICE framework, and lead cross-functional sprints."
COURSE_023,Enterprise Database Administration & PostgreSQL Tuning,edX,"Database Management, SQL, PostgreSQL, Linux",32,"Index optimization, query execution plan tuning, high-availability clustering, backup strategies, and replication."
COURSE_024,Data Warehousing and ETL Pipelines with SQL,Coursera,"Data Warehousing, ETL, SQL, Business Analytics",28,"Star schema modeling, building automated ETL extraction pipelines, data staging, and dimensional data modeling."
COURSE_025,Modern Frontend React and Redux Development,Udemy,"React, Javascript, CSS, HTML, Frontend Development",35,"Hooks, component lifecycles, global state management with Redux Toolkit, and performance optimization in React."
COURSE_026,Customer Segmentation & Marketing Analytics,Coursera,"Marketing Analytics, Customer Segmentation, Python, Excel",24,"RFM analysis, customer lifetime value modeling, churn modeling, and A/B testing analytics for modern marketing."
COURSE_027,Financial Modeling & Valuation Masterclass,Udemy,"Financial Modeling, Finance, Excel, Accounting",30,"Discounted cash flow (DCF) modeling, leveraged buyout (LBO) fundamentals, and M&A valuation techniques."
COURSE_028,Linux System Administration and Shell Scripting,edX,"Linux, Cloud, Problem Solving",20,"Command line mastery, bash shell scripting, system permissions, cron jobs, process management, and networking diagnostics."
